,5% Burnup,25% Burnup,50% Burnup,75% Burnup,95% Burnup
Tm-171,2.8702e-13,8.1920e-13,2.3246e-12,3.9725e-12,5.8639e-12
Tm-172,8.4057e-15,1.1071e-14,7.9672e-15,1.1581e-14,2.5255e-14
Yb-166,7.7658e-24,1.7123e-23,7.0257e-24,1.1830e-23,1.6304e-23
Yb-168,3.5999e-20,1.4590e-19,4.7990e-19,8.1497e-19,9.7587e-19
Yb-169,1.4731e-19,3.6344e-19,3.6723e-19,3.7962e-19,5.3184e-19
Yb-170,6.1240e-17,3.2433e-16,2.0523e-15,4.3679e-15,5.8884e-15
Yb-171,9.9198e-15,5.3255e-14,3.8781e-13,9.3154e-13,1.4275e-12
Yb-172,2.4146e-13,6.1373e-13,1.8861e-12,2.9108e-12,3.8748e-12
Lu-169,1.2872e-24,3.1269e-24,1.4084e-24,2.1595e-24,2.9356e-24
Lu-171,3.8702e-21,8.2202e-21,5.3149e-21,6.3647e-21,9.5567e-21
Lu-172,2.1537e-20,4.3667e-20,2.9309e-20,3.4836e-20,5.1257e-20
Hf-171,1.6115e-29,3.4569e-28,1.0223e-27,1.0501e-27,1.9375e-27
Hf-172,9.8958e-23,4.0398e-22,1.1582e-21,1.8198e-21,2.1046e-21
Hg-206,1.3081e-114,1.6531e-113,1.3789e-113,6.9890e-32,8.3936e-32
Tl-206,3.1980e-188,4.7995e-187,3.9561e-187,2.5255e-30,3.0460e-30
Tl-207,1.4758e-25,8.7811e-25,5.1597e-24,8.6333e-24,1.0785e-23
Tl-208,4.5977e-23,3.6248e-22,3.7859e-21,6.7321e-21,1.0365e-20
Tl-209,4.6247e-30,1.5046e-28,3.4663e-27,1.1586e-26,3.1093e-26
Tl-210,0.0000e+00,0.0000e+00,0.0000e+00,4.0021e-31,9.5222e-31
Pb-206,3.0709e-25,1.2632e-23,7.7496e-24,1.1613e-20,1.0366e-19
Pb-207,4.9268e-22,6.6764e-21,1.2623e-19,4.5756e-19,6.3303e-19
Pb-208,6.7258e-19,1.1150e-17,3.3812e-16,9.1207e-16,2.0943e-15
Pb-209,1.9491e-26,6.3558e-25,1.4675e-23,4.9112e-23,1.3190e-22
Pb-210,6.3934e-21,7.7725e-20,6.4815e-20,5.2738e-18,6.3306e-18
Pb-211,1.1204e-24,6.6650e-24,3.9159e-23,6.5520e-23,8.1850e-23
Pb-212,2.6823e-20,2.1119e-19,2.2037e-18,3.9180e-18,6.0325e-18
Pb-214,2.3618e-29,4.4718e-28,1.0410e-27,3.9309e-26,9.3521e-26
Bi-209,1.1458e-24,8.0610e-23,4.9086e-21,2.9049e-20,7.9908e-20
Bi-210,2.8861e-24,4.1529e-23,3.4313e-23,3.2410e-21,3.9091e-21
Bi-211,6.6407e-26,3.9508e-25,2.3213e-24,3.8840e-24,4.8520e-24
Bi-212,2.5375e-21,2.0004e-20,2.0893e-19,3.7151e-19,5.7201e-19
Bi-213,4.6112e-27,1.4919e-25,3.4370e-24,1.1488e-23,3.0830e-23
Bi-214,1.7522e-29,3.3190e-28,7.7276e-28,2.9191e-26,6.9450e-26
Po-210,5.4429e-24,1.3419e-22,9.7965e-23,3.6062e-20,8.7718e-20
Po-211,7.3651e-31,4.3820e-30,2.5747e-29,4.3080e-29,5.3816e-29
Po-212,1.3378e-31,1.0547e-30,1.1015e-29,1.9587e-29,3.0158e-29
Po-213,6.9321e-36,2.2429e-34,5.1674e-33,1.7272e-32,4.6351e-32
Po-214,7.7064e-31,4.0821e-30,3.3463e-30,1.0266e-29,4.0435e-30
Po-215,9.2276e-31,5.4842e-30,3.2206e-29,5.3882e-29,6.7312e-29
Po-216,1.0429e-25,8.1041e-25,8.3809e-24,1.4874e-23,2.2901e-23
Po-218,2.7357e-30,5.1768e-29,1.2049e-28,4.5485e-27,1.0821e-26
At-217,5.4614e-32,1.7638e-30,4.0614e-29,1.3571e-28,3.6413e-28
At-218,0.0000e+00,0.0000e+00,0.0000e+00,7.3329e-33,1.7447e-32
Rn-217,0.0000e+00,2.0583e-36,4.7424e-35,1.5882e-34,4.2613e-34
Rn-218,1.6417e-28,8.6957e-28,7.1282e-28,2.1860e-27,8.5933e-28
Rn-219,2.0517e-27,1.2194e-26,7.1609e-26,1.1980e-25,1.4967e-25
Rn-220,3.9989e-23,3.1075e-22,3.2136e-21,5.7036e-21,8.7813e-21
Rn-222,4.8851e-27,9.1951e-26,2.1400e-25,8.0787e-24,1.9220e-23
Fr-221,4.9711e-28,1.6054e-26,3.6968e-25,1.2353e-24,3.3144e-24
Fr-222,2.0842e-77,4.8474e-31,1.5441e-31,1.3501e-31,5.5075e-31
Fr-223,3.4754e-26,1.1381e-25,4.6305e-25,7.1509e-25,8.1282e-25
Ra-222,1.7824e-25,9.4411e-25,7.7391e-25,2.3734e-24,9.3299e-25
Ra-223,5.1168e-22,3.0410e-21,1.7858e-20,2.9877e-20,3.7324e-20
Ra-224,2.2744e-19,1.7674e-18,1.8278e-17,3.2439e-17,4.9944e-17
Ra-225,4.2061e-24,9.5930e-23,1.9481e-21,6.0164e-21,1.5286e-20
Ra-226,9.6939e-22,1.5820e-20,3.5328e-20,1.2714e-18,3.0125e-18
Ra-227,1.7681e-28,1.3905e-28,7.8183e-29,4.8367e-29,3.4989e-29
Ra-228,1.5454e-24,1.3113e-23,1.4449e-22,1.0784e-21,1.0023e-21
Ac-225,1.4613e-24,4.7186e-23,1.0865e-21,3.6303e-21,9.7403e-21
Ac-226,2.5054e-25,1.0020e-24,5.3639e-25,4.6898e-25,1.1385e-24
Ac-227,1.3117e-18,4.2941e-18,1.7467e-17,2.6973e-17,3.0659e-17
Ac-228,1.8577e-28,1.5887e-27,1.7581e-26,1.3151e-25,1.2220e-25
Ac-229,1.0069e-39,4.4299e-38,3.8964e-38,8.5013e-39,3.0566e-37
Th-226,8.6032e-24,4.5571e-23,3.7355e-23,1.1456e-22,4.5034e-23
Th-227,1.4264e-21,6.4405e-21,3.1522e-20,5.1059e-20,6.4348e-20
Th-228,5.2982e-17,3.7514e-16,3.6208e-15,6.3388e-15,9.7576e-15
Th-229,1.5167e-18,2.3308e-17,4.2219e-16,1.2221e-15,2.9237e-15
Th-230,1.8724e-15,1.3745e-14,2.0143e-14,2.7069e-13,5.5040e-13
Th-231,1.6038e-14,1.2613e-14,7.0916e-15,4.3864e-15,3.1707e-15
Th-232,4.9822e-13,1.9917e-12,8.8182e-12,1.4663e-11,2.0166e-11
Th-233,1.7074e-48,8.6340e-48,9.7359e-48,1.7933e-47,6.5206e-47
Th-234,2.3580e-13,2.6541e-13,2.6351e-13,2.5542e-13,2.4866e-13
Pa-229,0.0000e+00,0.0000e+00,0.0000e+00,3.3982e-54,2.7998e-30
Pa-230,1.0350e-19,4.1540e-19,2.2157e-19,1.9373e-19,4.7372e-19
Pa-231,6.5952e-13,9.8640e-13,1.2394e-12,1.1736e-12,8.7304e-13
Pa-232,1.4439e-15,1.8646e-15,1.9061e-15,2.0769e-15,1.9323e-15
Pa-233,3.6427e-14,2.5446e-13,1.0538e-12,2.0272e-12,3.3135e-12
Pa-234,2.7260e-15,3.0743e-15,3.0566e-15,2.9608e-15,2.8868e-15
Pa-235,1.8841e-45,2.0931e-45,6.0769e-46,1.4911e-45,1.6409e-45
U-230,8.4278e-21,4.4632e-20,3.6578e-20,1.1214e-19,4.4111e-20
U-231,1.3217e-23,1.9805e-22,3.8681e-23,2.6993e-24,4.0940e-21
U-232,7.5872e-14,2.9085e-13,1.1273e-12,1.4364e-12,2.3305e-12
U-233,1.8139e-14,2.5411e-13,3.3315e-12,4.6650e-11,4.7500e-11
U-234,6.6266e-09,2.5828e-08,3.2616e-08,1.7371e-07,2.8310e-07
U-235,3.8737e-03,3.0449e-03,1.7113e-03,1.0516e-03,7.3996e-04
U-235m,2.9603e-39,1.0843e-38,9.8659e-39,9.0918e-38,1.2266e-37
U-236,1.5751e-04,3.1331e-04,5.4366e-04,6.1071e-04,5.9719e-04
U-237,5.0541e-07,1.1316e-06,1.0881e-06,1.2474e-06,1.8255e-06
U-238,1.8705e-02,1.8373e-02,1.7831e-02,1.7286e-02,1.6821e-02
U-239,3.4118e-36,6.8066e-36,3.3483e-36,6.6831e-36,5.2756e-36
U-240,6.3177e-13,7.7866e-13,5.9530e-13,9.9396e-13,1.2536e-12
Np-234,1.1619e-28,4.5401e-26,1.5781e-26,5.8074e-24,1.9063e-20
Np-235,6.8382e-20,6.4056e-18,2.7914e-17,2.3880e-13,1.1681e-12
Np-236,2.7591e-13,5.2713e-12,1.5564e-11,7.3228e-11,5.5475e-11
Np-236m,2.0522e-23,2.2084e-21,6.6270e-21,5.8026e-17,4.1737e-16
Np-237,2.5171e-06,1.2243e-05,3.4134e-05,6.3912e-05,1.0254e-04
Np-238,5.2309e-09,2.7820e-08,5.9771e-08,1.2844e-07,2.5250e-07
Np-239,3.4852e-06,4.3149e-06,2.5514e-06,3.7061e-06,4.2570e-06
Np-240,4.9874e-14,6.1471e-14,4.6995e-14,7.8467e-14,9.8966e-14
Pu-236,1.1719e-20,6.1624e-19,3.9027e-18,2.4187e-14,1.6306e-11
Pu-237,1.0599e-14,4.2134e-13,2.3036e-12,7.5099e-12,2.8151e-11
Pu-237m,1.4325e-27,2.6260e-25,2.2668e-24,2.0302e-24,1.1589e-23
Pu-238,8.5700e-08,1.1033e-06,1.0053e-05,2.2677e-05,4.3249e-05
Pu-239,1.8424e-04,2.7718e-04,2.0979e-04,2.6269e-04,3.2658e-04
Pu-240,2.3496e-05,6.6649e-05,1.3081e-04,1.0102e-04,1.0410e-04
Pu-241,5.7089e-06,3.6380e-05,8.1591e-05,1.0755e-04,1.4542e-04
Pu-242,2.5477e-07,4.5370e-06,3.3345e-05,7.2714e-05,8.5741e-05
Pu-243,1.4654e-13,8.2338e-13,5.6922e-12,1.0709e-11,1.4546e-11
Pu-244,1.0158e-12,7.9318e-11,9.3362e-10,3.6347e-09,1.2824e-08
Pu-245,1.4397e-18,6.0134e-16,5.3913e-15,1.4913e-14,2.0103e-14
Pu-246,5.9530e-34,1.1899e-29,3.1906e-28,9.5626e-26,4.9228e-23
Am-239,1.3018e-45,7.3504e-38,8.4287e-45,9.6631e-61,5.5387e-29
Am-240,1.4930e-18,5.2428e-16,2.6514e-17,4.2925e-20,1.2310e-14
Am-241,1.6518e-08,2.0109e-07,9.1376e-07,1.5763e-06,2.0977e-06
Am-242,1.1686e-11,1.9561e-10,6.6019e-10,1.5552e-09,2.1531e-09
Am-242m,7.0264e-11,1.7972e-09,1.0177e-08,2.1873e-08,3.1182e-08
Am-243,5.6917e-09,2.7595e-07,3.5277e-06,1.2638e-05,2.3426e-05
Am-244,1.3936e-14,2.4068e-12,8.2882e-12,2.5193e-11,5.4959e-11
Am-244m,9.9258e-39,1.7922e-36,4.7437e-36,1.4889e-35,3.8567e-35
Am-245,3.4966e-19,1.4594e-16,1.3081e-15,3.6185e-15,4.8785e-15
Am-246,3.4722e-53,6.9463e-49,7.4243e-31,2.3883e-28,1.2297e-25
Cm-239,7.7868e-78,2.4081e-53,1.9995e-84,3.1189e-158,1.6067e-44
Cm-240,2.3791e-26,1.5526e-23,3.7658e-22,7.9189e-22,7.8485e-16
Cm-241,3.2732e-18,6.0005e-16,5.1797e-15,4.6390e-15,2.6481e-14
Cm-242,8.7902e-10,3.2922e-08,4.7479e-07,1.0450e-06,1.5086e-06
Cm-243,2.6980e-12,2.2716e-10,6.0577e-09,2.0070e-08,5.9284e-08
Cm-244,1.6255e-10,2.9867e-08,4.1171e-07,2.5928e-06,1.0511e-05
Cm-245,2.4803e-12,6.9102e-10,1.0349e-08,9.1905e-08,9.3497e-07
Cm-246,2.3407e-14,1.1116e-11,3.0220e-10,4.0931e-09,1.3712e-07
Cm-247,2.2628e-17,3.6821e-14,8.2570e-13,3.5140e-11,2.9022e-09
Cm-248,1.3755e-19,6.2053e-16,1.6252e-14,1.4880e-12,4.0855e-10
Cm-249,2.0579e-34,7.4609e-31,6.2559e-30,1.0282e-28,5.0477e-25
Cm-250,1.9816e-27,3.2441e-23,5.6796e-22,1.7037e-19,8.2849e-17
Bk-249,4.0570e-22,3.9634e-18,1.0864e-16,3.0051e-14,1.3109e-11
Bk-250,2.9455e-39,4.7935e-35,1.9954e-30,6.0171e-28,2.9260e-25
Bk-251,6.8471e-44,8.7871e-39,1.9104e-38,7.9150e-36,2.4087e-32
Cf-249,9.7977e-24,1.4789e-19,8.2450e-18,4.1794e-15,2.0524e-12
Cf-250,4.6591e-34,1.1793e-29,5.5825e-28,1.4329e-25,8.9732e-23
Cf-251,1.1097e-29,4.7396e-25,1.8197e-23,4.4205e-21,4.1011e-18
